species,genus,family,species.relative,genus.relative
Polystichum duthiei,Polystichum,Dryopteridaceae
Polystichum discretum,Polystichum,Dryopteridaceae
Polystichum cyclolobum,Polystichum,Dryopteridaceae
Polystichum centronepalense,Polystichum,Dryopteridaceae
Polystichum bakerianum,Polystichum,Dryopteridaceae
Polystichum atkinsonii,Polystichum,Dryopteridaceae
Polystichum annapurnicola,Polystichum,Dryopteridaceae
Pneumatopteris loyalii,Pneumatopteris,Thelypteridaceae
Pleocnemia submembranacea,Pleocnemia,Dryopteridaceae
Plagiogyria pycnophylla,Plagiogyria,Plagiogyriaceae
Plagiogyria euphlebia,Plagiogyria,Plagiogyriaceae
Pityrogramma calomelanos,Pityrogramma,Pteridaceae
Pichisermollodes tibetana,Pichisermollodes,Polypodiaceae
Pichisermollodes stewartii,Pichisermollodes,Polypodiaceae
Pichisermollodes quasidivaricata,Pichisermollodes,Polypodiaceae
Pichisermollodes nigrovenia,Pichisermollodes,Polypodiaceae
Pichisermollodes nepalensis,Pichisermollodes,Polypodiaceae
Pichisermollodes malacodon,Pichisermollodes,Polypodiaceae
Pichisermollodes glaucopsis,Pichisermollodes,Polypodiaceae
Pichisermollodes erythrocarpa,Pichisermollodes,Polypodiaceae
Pichisermollodes ebenipes,Pichisermollodes,Polypodiaceae
Physematium elongatum,Physematium,Woodsiaceae
Phegopteris rectangularis,Phegopteris,Thelypteridaceae
Phegopteris microstegia,Phegopteris,Thelypteridaceae
Phegopteris levingei,Phegopteris,Thelypteridaceae
Phegopteris decursivepinnata,Phegopteris,Thelypteridaceae
Phegopteris connectilis,Phegopteris,Thelypteridaceae
Phegopteris aurita,Phegopteris,Thelypteridaceae
Pentarhizidium intermedium,Pentarhizidium,Onocleaceae
Pellaea calomelanos,Pellaea,Pteridaceae
Parathelypteris glanduligera,Parathelypteris,Thelypteridaceae
Paragymnopteris vestita,Paragymnopteris,Pteridaceae
Paragymnopteris marantae,Paragymnopteris,Pteridaceae
Paragymnopteris delavayi,Paragymnopteris,Pteridaceae
Paragymnopteris borealisinensis,Paragymnopteris,Pteridaceae
Paragymnopteris bipinnata,Paragymnopteris,Pteridaceae
Osmunda japonica,Osmunda,Osmundaceae
Osmolindsaea odorata,Osmolindsaea,Lindsaeaceae
Ophioglossum reticulatum,Ophioglossum,Ophioglossaceae
Ophioglossum petiolatum,Ophioglossum,Ophioglossaceae
Ophioglossum parvifolium,Ophioglossum,Ophioglossaceae
Onychium vermae,Onychium,Pteridaceae
Onychium siliculosum,Onychium,Pteridaceae
Onychium moupinense,Onychium,Pteridaceae
Onychium kholianum,Onychium,Pteridaceae
Onychium japonicum,Onychium,Pteridaceae
Onychium cryptogrammoides,Onychium,Pteridaceae
Oleandra wallichii,Oleandra,Oleandraceae
Oleandra pistillaris,Oleandra,Oleandraceae
Oleandra cumingii,Oleandra,Oleandraceae
Oeosporangium subvillosum,Oeosporangium,Pteridaceae
Oeosporangium nitidulum,Oeosporangium,Pteridaceae
Oeosporangium belangeri,Oeosporangium,Pteridaceae
Odontosoria chinensis,Odontosoria,Lindsaeaceae
Nephrolepis undulata,Nephrolepis,Nephrolepidaceae
Nephrolepis radicans,Nephrolepis,Nephrolepidaceae
Nephrolepis cordifolia,Nephrolepis,Nephrolepidaceae
Lepisorus ovatus,Nephrolepis,Nephrolepidaceae
Monachosorum henryi,Monachosorum,Dennstaedtiaceae
Microsorum punctatum,Microsorum,Polypodiaceae
Microsorum cuspidatum,Microsorum,Polypodiaceae
Micropolypodium sikkimense,Micropolypodium,Polypodiaceae
Microlepia trichocarpa,Microlepia,Dennstaedtiaceae
Microlepia strigosa,Microlepia,Dennstaedtiaceae
Microlepia speluncae,Microlepia,Dennstaedtiaceae
Microlepia setosa,Microlepia,Dennstaedtiaceae
Microlepia rhomboidea,Microlepia,Dennstaedtiaceae
Microlepia platyphylla,Microlepia,Dennstaedtiaceae
Microlepia nepalensis,Microlepia,Dennstaedtiaceae
Microlepia marginata,Microlepia,Dennstaedtiaceae
Microlepia hallbergii,Microlepia,Dennstaedtiaceae
Microlepia firma,Microlepia,Dennstaedtiaceae
Metathelypteris flaccida,Metathelypteris,Thelypteridaceae
Marsilea minuta,Marsilea,Marsileaceae
Macrothelypteris torresiana,Macrothelypteris,Thelypteridaceae
Macrothelypteris ornata,Macrothelypteris,Thelypteridaceae
Lygodium salicifolium,Lygodium,Lygodiaceae
Lygodium microphyllum,Lygodium,Lygodiaceae
Lygodium japonicum,Lygodium,Lygodiaceae
Lygodium flexuosum,Lygodium,Lygodiaceae
Loxogramme porcata,Loxogramme,Polypodiaceae
Loxogramme involuta,Loxogramme,Polypodiaceae
Loxogramme cuspidata,Loxogramme,Polypodiaceae
Loxogramme chinensis,Loxogramme,Polypodiaceae
Lindsaea orbiculata,Lindsaea,Lindsaeaceae
Lindsaea ensifolia,Lindsaea,Lindsaeaceae
Leucostegia truncata,Leucostegia,Hypodematiaceae
Leptochilus pteropus,Leptochilus,Polypodiaceae
Leptochilus pothifolius,Leptochilus,Polypodiaceae
Leptochilus pedunculatus,Leptochilus,Polypodiaceae
Leptochilus insignis,Leptochilus,Polypodiaceae
Leptochilus ellipticus,Leptochilus,Polypodiaceae
Leptochilus decurrens,Leptochilus,Polypodiaceae
Lepisorus thunbergianus,Lepisorus,Polypodiaceae
Lepisorus subconfluens,Lepisorus,Polypodiaceae
Lepisorus scolopendrium,Lepisorus,Polypodiaceae
Lepisorus nudus,Lepisorus,Polypodiaceae
Lepisorus morrisonensis,Lepisorus,Polypodiaceae
Lepisorus mehrae,Lepisorus,Polypodiaceae
Lepisorus loriformis,Lepisorus,Polypodiaceae
Lepisorus jakonensis,Lepisorus,Polypodiaceae
Lepisorus henryi,Lepisorus,Polypodiaceae
Lepisorus contortus,Lepisorus,Polypodiaceae
Lepisorus clathratus,Lepisorus,Polypodiaceae
Lepisorus bicolor,Lepisorus,Polypodiaceae
Lepisorus rostratus,Lemmaphyllum,Polypodiaceae
Lepisorus carnosus,Lemmaphyllum,Polypodiaceae
Japanobotrychum lanuginosum,Japanobotrychum,Ophioglossaceae
Hypolepis polypodioides,Hypolepis,Dennstaedtiaceae
Hypodematium crenatum,Hypodematium,Hypodematiaceae
