genus,family
Lecanopteris,Polypodiaceae
Lellingeria,Polypodiaceae
Lepisorus,Polypodiaceae
Leptochilus,Polypodiaceae
Leucotrichum,Polypodiaceae
Lomaphlebia,Polypodiaceae
Loxogramme,Polypodiaceae
Luisma,Polypodiaceae
Melpomene,Polypodiaceae
Microgramma,Polypodiaceae
Micropolypodium,Polypodiaceae
Microsorum,Polypodiaceae
Moranopteris,Polypodiaceae
Mycopteris,Polypodiaceae
Niphidium,Polypodiaceae
Oreogrammitis,Polypodiaceae
Pecluma,Polypodiaceae
Phlebodium,Polypodiaceae
Pichisermollodes,Polypodiaceae
Platycerium,Polypodiaceae
Pleopeltis,Polypodiaceae
Pleurosoriopsis,Polypodiaceae
Podosorus,Polypodiaceae
Polypodium,Polypodiaceae
Prosaptia,Polypodiaceae
Pyrrosia,Polypodiaceae
Scleroglossum,Polypodiaceae
Selliguea,Polypodiaceae
Serpocaulon,Polypodiaceae
Stenogrammitis,Polypodiaceae
Synammia,Polypodiaceae
Terpsichore,Polypodiaceae
Thylacopteris,Polypodiaceae
Tomophyllum,Polypodiaceae
Xiphopterella,Polypodiaceae
Bosmania,Polypodiaceae
Hovenkampia,Polypodiaceae
Zealandia,Polypodiaceae
Notogrammitis,Polypodiaceae
Parrisia,Polypodiaceae
Phlebosia,Polypodiaceae
Sellimeris,Polypodiaceae
Psilotum,Psilotaceae
Tmesipteris,Psilotaceae
Acrostichum,Pteridaceae
Actiniopteris,Pteridaceae
Adiantopsis,Pteridaceae
Adiantum,Pteridaceae
Aleuritopteris,Pteridaceae
Ananthacorus,Pteridaceae
Anogramma,Pteridaceae
Antrophyum,Pteridaceae
Argyrochosma,Pteridaceae
Aspidotis,Pteridaceae
Astrolepis,Pteridaceae
Austrogramme,Pteridaceae
Bommeria,Pteridaceae
Calciphilopteris,Pteridaceae
Ceratopteris,Pteridaceae
Cerosora,Pteridaceae
Cheilanthes,Pteridaceae
Cheiloplecton,Pteridaceae
Coniogramme,Pteridaceae
Cosentinia,Pteridaceae
Cryptogramma,Pteridaceae
Doryopteris,Pteridaceae
Gaga,Pteridaceae
Haplopteris,Pteridaceae
Hecistopteris,Pteridaceae
Hemionitis,Pteridaceae
Jamesonia,Pteridaceae
Llavea,Pteridaceae
Mildella,Pteridaceae
Myriopteris,Pteridaceae
Notholaena,Pteridaceae
Oeosporangium,Pteridaceae
Onychium,Pteridaceae
Ormopteris,Pteridaceae
Pellaea,Pteridaceae
Pentagramma,Pteridaceae
Pityrogramma,Pteridaceae
Polytaenium,Pteridaceae
Pteris,Pteridaceae
Pterozonium,Pteridaceae
Radiovittaria,Pteridaceae
Rheopteris,Pteridaceae
Scoliosorus,Pteridaceae
Syngramma,Pteridaceae
Taenitis,Pteridaceae
Trachypteris,Pteridaceae
Tryonia,Pteridaceae
Vaginularia,Pteridaceae
Vittaria,Pteridaceae
Antrophyopsis,Pteridaceae
Gastoniella,Pteridaceae
Lytoneuron,Pteridaceae
Mickelopteris,Pteridaceae
Paragymnopteris,Pteridaceae
Baja,Pteridaceae
Rhachidosorus,Rhachidosoraceae
Orthiopteris,Saccolomataceae
Saccoloma,Saccolomataceae
Azolla,Salviniaceae
Salvinia,Salviniaceae
Actinostachys,Schizaeaceae
Schizaea,Schizaeaceae
Selaginella,Selaginellaceae
